"tod","Late","Exposed","Infected","cosFull","sinFull","cosHalf","sinHalf","group","Fish_id","dwellTime1","dwellTime2","dwellTime3"
129,"0",0,0,0.845727821703973,0.533614515915611,0.430511096808295,0.902585284349861,"1","F",8.09591512006409,7.01232995835562,6.58774291637042
130,"0",0,0,0.843391445812886,0.537299608346824,0.422618261740699,0.90630778703665,"1","F",8.09558921997814,7.01105970051913,6.5897199020028
131,"0",0,0,0.841039012964392,0.540974471367994,0.414693242656239,0.909961270876543,"1","F",8.09528573574789,7.0098947608044,6.59172605899221
132,"0",0,0,0.838670567945424,0.544639035015027,0.4067366430758,0.913545457642601,"1","F",8.09500467178214,7.00883512361725,6.59376138231096
133,"0",0,0,0.83628615584776,0.548293229519914,0.398749068925246,0.917060074385124,"1","F",8.094746032275,7.00788077728726,6.59582586678471
134,"0",0,0,0.833885822067168,0.551936985312058,0.390731128489274,0.92050485345244,"1","F",8.09450982120688,7.00703171407167,6.59791950709064
135,"0",0,0,0.831469612302545,0.555570233019602,0.38268343236509,0.923879532511287,"1","F",8.09429604234356,7.00628793016131,6.60004229775654
136,"0",0,0,0.829037572555042,0.559192903470747,0.374606593415912,0.927183854566787,"1","F",8.0941046992366,7.00564942568599,6.6021942331588
137,"0",0,0,0.826589749127189,0.562804927695069,0.366501226724297,0.930417567982025,"1","F",8.09393579522316,7.00511620471843,6.60437530752097
138,"0",0,0,0.824126188622016,0.566406236924833,0.3583679495453,0.933580426497202,"1","F",8.09378933342668,7.00468827528175,6.60658551491133
139,"0",0,0,0.821646937942164,0.569996762596303,0.350207381259467,0.936672189248398,"1","F",8.09366531675551,7.00436564935308,6.60882484924332
140,"0",0,0,0.819152044288992,0.573576436351046,0.342020143325669,0.939692620785908,"1","F",8.09356374790445,7.00414834286994,6.61109330427121
141,"0",0,0,0.816641555161679,0.577145190037234,0.333806859233771,0.942641491092178,"1","F",8.09348462935395,7.00403637573618,6.61339087359056
142,"0",0,0,0.814115518356319,0.58070295571094,0.325568154457157,0.945518575599317,"1","F",8.09342796336932,7.00402977182625,6.61571755063528
143,"0",0,0,0.811573981965012,0.584249665637434,0.317304656405092,0.948323655206199,"1","F",8.09339375200284,7.00412855899276,6.61807332867647
144,"0",0,0,0.809016994374947,0.587785252292473,0.309016994374947,0.951056516295154,"1","F",8.093381997091,7.00433276907052,6.62045820082062
145,"0",0,0,0.806444604267483,0.591309648363582,0.300705799504273,0.953716950748227,"1","F",8.09339270025703,7.00464243788383,6.62287216000755
146,"0",0,0,0.803856860617217,0.594822786751341,0.292371704722737,0.956304755963035,"1","F",8.09342586290836,7.0050576052513,6.62531519900858
147,"0",0,0,0.801253812691061,0.598324600570659,0.284015344703923,0.958819734868193,"1","F",8.09348148623917,7.00557831499282,6.62778731042545
148,"0",0,0,0.798635510047293,0.601815023152048,0.275637355816999,0.961261695938319,"1","F",8.09355957122762,7.00620461493531,6.63028848668773
149,"0",0,0,0.796002002534622,0.605293988042894,0.267238376078257,0.963630453208623,"1","F",8.09366011863813,7.00693655691816,6.63281872005109
150,"0",0,0,0.793353340291235,0.608761429008721,0.258819045102521,0.965925826289068,"1","F",8.09378312901981,7.00777419680071,6.63537800259564
151,"0",0,0,0.790689573743843,0.612217280034449,0.250380004054441,0.968147640378108,"1","F",8.09392860270623,7.00871759446773,6.63796632622393
152,"0",0,0,0.788010753606722,0.615661475325658,0.241921895599668,0.970295726275996,"1","F",8.09409653981652,7.00976681383622,6.6405836826591
153,"0",0,0,0.785316930880745,0.619093949309834,0.233445363855905,0.972369920397677,"1","F",8.09428694025451,7.01092192286183,6.64323006344284
154,"0",0,0,0.782608156852414,0.62251463663762,0.224951054343865,0.974370064785235,"1","F",8.09449980370846,7.01218299354491,6.6459054599336
155,"0",0,0,0.779884483092882,0.625923472184059,0.216439613938103,0.976296007119933,"1","F",8.09473512965064,7.01355010193811,6.64860986330427
156,"0",0,0,0.777145961456971,0.629320391049837,0.207911690817759,0.978147600733806,"1","F",8.09499291733846,7.01502332815244,6.65134326454086
