"tod","dstate1","dstate2","dstate3","lci1","lci2","lci3","uci1","uci2","uci3","group"
1075,9.81955072954293,32.2090154276787,5.24331855145351,6.16311987119723,21.7901128835215,3.95652057641752,17.9689085224466,45.9402434150397,8.16818966922816,5
1076,9.83407566907476,32.1733443704127,5.25247178558993,6.17595620801936,21.7645183813212,3.96330842409874,17.9917456219582,45.8745689698862,8.18330307463657,5
1077,9.84859966517001,32.1374184226843,5.26167216201702,6.18882459409024,21.7387645636443,3.97013664672353,18.0145329945492,45.808417921895,8.19848132975603,5
1078,9.86312234398747,32.1012386445866,5.27091972620497,6.20172484657822,21.7128523592598,3.97700532775563,18.037269907192,45.7417931812255,8.21372441472604,5
1079,9.87764333017867,32.0648061050208,5.28021452291637,6.21465678016133,21.6911106059782,3.98391455048268,18.0599556275154,45.674697676131,8.2290323078861,5
1080,9.89216224690108,32.0281218816542,5.2895565961926,6.22762020701732,21.6700938435015,3.99086439800652,18.0825894238512,45.6071343527673,8.24440498575404,5
1081,9.90667871582923,31.9911870608814,5.29894598933947,6.24061493681287,21.6489417024528,3.99785495323117,18.1051705652808,45.539106175001,8.25984242300432,5
1082,9.92119235716973,31.9540027377834,5.30838274491271,6.25364077669396,21.627367247869,4.00488629885183,18.1276983216822,45.4706161242161,8.27534459244654,5
1083,9.93570278967354,31.9165700160856,5.31786690470335,6.26669753127607,21.6053440192261,4.01195851734399,18.1501719637768,45.4016671991212,8.29091146500392,5
1084,9.95020963064985,31.8788900081177,5.32739850972393,6.27978500263438,21.5831881239377,4.01907169095149,18.1725907631765,45.3322624155549,8.30654300969085,5
1085,9.96471249597994,31.8409638347709,5.33697760019299,6.29290299029408,21.5609001753944,4.02622590167533,18.1949539924296,45.2624048062907,8.32223919359205,5
1086,9.97921100013036,31.8027926254579,5.34660421552167,6.30605129122158,21.5384807910045,4.03342123126208,18.2172609250688,45.1918828122882,8.3379999818394,5
1087,9.9937047561682,31.7643775180679,5.35627839429731,6.31922969981462,21.5159305921711,4.04065776119162,18.2395108356569,45.1152977728523,8.35382533759107,5
1088,10.0081933757747,31.7257196589269,5.36600017427054,6.3324380078942,21.4932502042719,4.04793557266588,18.2617029998341,45.038359479475,8.36971522200887,5
1089,10.0226764692607,31.6868202027531,5.37576959233866,6.34567600469487,21.4704402566361,4.0552547465965,18.2838366943642,44.9632740906791,8.38566959423644,5
1090,10.0371536455798,31.6476803126138,5.38558668453106,6.35894347685671,21.4475013825242,4.06261536359291,18.3059111971823,44.8880720473242,8.40168841137668,5
1091,10.0516245123456,31.6083011598835,5.39545148599473,6.37224020841663,21.4244342191041,4.07001750395017,18.3279257874397,44.8126017779528,8.41777162847041,5
1092,10.0660886758453,31.5686839241976,5.40536403097872,6.38556598080062,21.4012394074317,4.07746124763627,18.3498797455521,44.7368655812374,8.43391919847313,5
1093,10.0805457410552,31.528829793411,5.41532435281829,6.39892057281504,21.3779175924262,4.08494667427988,18.3717723532452,44.6608657616708,8.45013107223341,5
1094,10.0949953116578,31.4887399635511,5.4253324839201,6.41230376063919,21.35446942285,4.0924738631581,18.393602893601,44.5846046294793,8.46640719847006,5
1095,10.1094369900559,31.4484156387755,5.43538845574653,6.42571531781803,21.3308955512851,4.10004289318348,18.4153706511049,44.5080845005367,8.48274752375041,5
1096,10.1238703773895,31.4078580313251,5.44549229880067,6.43915501525404,21.3071966341115,4.10765384289114,18.4370749116911,44.4313076962777,8.49915199246707,5
1097,10.1382950735526,31.3670683614789,5.45564404260949,6.45262262120043,21.2833733314842,4.11530679042603,18.4587149627897,44.3542765436108,8.51562054681596,5
1098,10.1527106772087,31.3260478575096,5.46584371570907,6.46611790125437,21.2594263073109,4.12300181352979,18.4802900933713,44.2769933748309,8.5321531267739,5
1099,10.167116785808,31.2847977556362,5.4760913456289,6.47964061834965,21.2353562292292,4.13073898952767,18.501799593995,44.1994605275332,8.54874967007582,5
1100,10.1815129956042,31.2433192999779,5.48638695887462,6.49319053275041,21.2111637685837,4.13851839531551,18.5232427568527,44.1216803445241,8.56541011219187,5
1101,10.1958989016719,31.201613742508,5.49673058091412,6.5067674020454,21.1868496004037,4.14634010734573,18.5446188758158,44.0436551737355,8.58213438630561,5
1102,10.2102740979235,31.1596823430057,5.50712223615938,6.52037098114057,21.1624144033793,4.15420420161444,18.5659272464802,43.9653873681348,8.59892242329058,5
1103,10.224638177127,31.1175263690097,5.51756194795166,6.5340010222543,21.1378588598386,4.16211075364748,18.5871671662122,43.8868792856385,8.61577415168849,5
1104,10.2389907309237,31.07514709577,5.52804973854495,6.5476572749115,21.1131836557249,4.17005983848668,18.6083379341944,43.8081332890233,8.63268949768537,5
1105,10.2533313498459,31.0325458062,5.53858562908931,6.56133948593763,21.0884787905905,4.17805153067617,18.6294388514701,43.7291517458372,8.64966838508976,5
1106,10.2676596233355,30.9897237908281,5.54916963961455,6.5750473994544,21.063985002507,4.18608590424808,18.6504692209891,43.6499370283118,8.66671073530994,5
1107,10.2819751397617,30.9466823477478,5.5598017890145,6.58878075687444,21.0393479198733,4.19416303270884,18.6714283476525,43.5704915132719,8.68381646733054,5
1108,10.2962774864402,30.9034227825709,5.57048209502886,6.60253929689607,21.0145684051189,4.20228298902511,18.6923155383578,43.4908175820478,8.70098549769051,5
1109,10.3105662496516,30.8599464083754,5.58121057422863,6.61632275549982,20.9896473248862,4.21044584560831,18.7131301020435,43.4109176203849,8.71821774045997,5
1110,10.3248410146605,30.8162545456576,5.59198724199723,6.6301308659436,20.964585549984,4.21865167430144,18.7338713497332,43.3307940183545,8.73551310721705,5
1111,10.339101365734,30.7723485222803,5.60281211251549,6.64396335875904,20.939383955341,4.22690054636391,18.7547463905045,43.2504491702639,8.752871507026,5
1112,10.3533468861619,30.728229673424,5.61368519874327,6.6578199617475,20.9140434199575,4.23519253245665,18.781556221672,43.1698854745659,8.77029284641361,5
1113,10.3675771582757,30.6838993415342,5.62460651240417,6.67170039997683,20.888564826859,4.2435277026279,18.8082648077538,43.0891053337691,8.78777702934673,5
1114,10.381791763469,30.6393588762714,5.63557606396671,6.68560439577841,20.8629490630483,4.25190612629754,18.8348710787412,43.0081111543469,8.80532395720908,5
1115,10.395990282216,30.5946096344583,5.64659386262861,6.69953166874376,20.8371970194584,4.26032787224235,18.8613739667853,42.9269053466466,8.82293352877929,5
1116,10.4101722940929,30.5496529800284,5.65765991629883,6.71348193572232,20.8113095909048,4.26879300858119,18.8877724062826,42.8454903247988,8.84060564020693,5
1117,10.4243373777979,30.5044902839741,5.66877423158053,6.7274549108191,20.7852876760377,4.27730160275888,18.9140653339586,42.7638685066256,8.85834018499099,5
1118,10.4384851111711,30.4591229242924,5.67993681375401,6.74130019562172,20.7591321772948,4.28585372153146,18.9402516889541,42.6820423135495,8.87613705395591,5
1119,10.4526150712163,30.4135522859333,5.69114766675898,6.75515724150741,20.732844000853,4.29444943095002,18.9663304129095,42.6000141705008,8.89399613522956,5
1120,10.4667268341202,30.3677797607445,5.70240679317681,6.76903633752988,20.7064240565808,4.30308879634574,18.9923004500494,42.5177865058266,8.91191731422027,5
1121,10.4808199752752,30.321806747419,5.71371419421439,6.78293719569315,20.6798732579909,4.31177188231345,19.0181607472681,42.4353617511978,8.92990047359425,5
1122,10.4948940692991,30.2756346514404,5.72506986968438,6.79452027890372,20.653192522191,4.32049875269602,19.0439102542136,42.3527423415164,8.94794549325215,5
